Case #,Date,country_id,state_id, Description , Deaths , Tesla driver , Tesla occupant , Other vehicle , Cyclists/ Peds , TSLA+cycl / peds ,model_id, Autopilot claimed , Verified Tesla Autopilot Deaths , Verified Tesla Autopilot Deaths + All Deaths Reported to NHTSA SGO 
236,6/13/2022,c023,s004, Two-car collision ,1,1,,,,1,,,,
235,6/7/2022,c023,s004, DUI crash ,1,,,,1,1,,,,
231,5/28/2022,c023,s004, Speeding tesla crashes into tree ,1,1,,,,1,,,,
225,5/18/2022,c023,s004, Tesla hits pedestrian ,1,,,,1,1,m003,1,,1
222,5/11/2022,c023,s004, Tesla smashes into construction equipment ,3,1,2,,,3,m004,1,,
215,3/26/2022,c023,s004," DUI crash on highway, Tesla catches fire ",1,,,,,1,,1,,1
214,3/21/2022,c023,s004, Three car collision involving Tesla ,2,,,2,,,,,,
213,3/20/2022,c023,s004, Car crosses double yellow and crashes with a Tesla ,2,1,,1,,1,m003,,,
212,3/14/2022,c023,s004, Tesla collides into rail on highway ,2,1,1,,,1,,,,
207,3/7/2022,c023,s004, Car found overturned in a ravine ,1,1,,,,1,,,,
206,3/5/2022,c023,s004, Tesla crashes head on with other car ,1,,,1,,,,,,
203,2/12/2022,c023,s004, Tesla crashes into a tree ,1,1,,,,1,,,,
201,1/16/2022,c023,s004, Three-car collision near intersection ,1,,,1,,,,,,
200,1/1/2022,c023,s004, Motorcyclist crashes into Tesla ,1,,,1,,,m005,,,
199,1/1/2022,c023,s004, Single-collision on onramp ,1,1,,,,1,,,,
198,12/31/2021,c023,s004, Tesla crashes into trees ,2,1,1,,,2,,,,
197,12/28/2021,c023,s004, Multi-crash involving DUI ,1,,,1,,,,1,,1
195,12/18/2021,c023,s004, Multi-car accident ,1,,,1,,,m006,,,
190,12/1/2021,c023,s004," Collision with pole, battery ignited ",1,1,,,,1,m003,,,
189,11/29/2021,c023,s004, DUI crash with parked car ,1,,,1,,,,,,
188,11/15/2021,c023,s004, Pedestrian hit at crosswalk ,1,,,,,1,,,,
169,7/7/2021,c023,s004, Other driver dies in head-on collision ,1,,,1,,,m004,,,
168,6/29/2021,c023,s004," Car crashes into Tesla, fire breaks out ",2,1,,1,,1,,,,
158,5/5/2021,c023,s004, Multi-event collision with truck on highway ,1,1,,,,1,,1,,
147,3/10/2021,c023,s004," Tesla crashes into tree, occupants killed ",2,1,1,,,1,,,,
145,2/22/2021,c023,s004, High speed crash into telephone poll ,1,1,,,,1,,,,
137,12/4/2020,c023,s004," Car loses control, goes airborne, hits telephone pole ",1,,1,,,1,,,,
135,10/31/2020,c023,s004," Car hit by a Tesla, driver later died from injuries ",1,0,,1,,,m006,,,
134,10/10/2020,c023,s004, Motorcyclist died after rear-ending a Tesla ,1,0,,1,,,m006,,,
131,9/12/2020,c023,s004," Car lands on Tesla, other vehicle driver dies ",1,0,,1,,,,,,
126,8/12/2020,c023,s004, Tesla hits two cars along exit ramp & catches fire ,2,1,1,,,1,,1,,
125,8/2/2020,c023,s004," Tesla crashes into tree, ignites, kills driver and passenger ",2,1,1,,,1,,,,
119,5/25/2020,c023,s004, Tesla goes off cliff and later found ,1,1,,,,1,,,,
118,5/14/2020,c023,s004, Two-car collision ,1,0,,1,,,m003,1,,1
117,5/5/2020,c023,s004, Drunk driver strikes Tesla ,1,0,,1,,,,,,
110,2/24/2020,c023,s004, Driver dies as Tesla goes down embankment ,1,1,0,0,0,1,,,,
104,1/18/2020,c023,s004," Tesla strikes sign, burns ",1,1,0,0,0,1,m004,,,
100,12/29/2019,c023,s004, Tesla runs red light after exiting freeway ,2,0,0,2,0,0,m004,2,2,2
97,12/11/2019,c023,s004, Tesla strikes turning Lexus ,1,0,0,1,0,0,m005,,,
93,11/22/2019,c023,s004, Tire strikes Tesla ,1,1,0,0,0,1,,,,
92,11/21/2019,c023,s004, Tesla kills pedestrian ,1,0,0,0,1,1,m004,,,
89,11/20/2019,c023,s004, Tesla in multi vehicle crash ,1,0,0,1,0,0,,,,
86,11/7/2019,c023,s004, Two car collision ,1,0,0,1,0,0,m003,,,
82,10/12/2019,c023,s004," Wrong way driver strikes Tesla, Tesla burns ",1,0,0,1,0,0,m004,,,
77,9/8/2019,c023,s004, Honda rear ends Tesla ,1,0,0,1,0,0,,,,
74,8/24/2019,c023,s004, Tesla rear ends Ford ,1,0,0,1,0,0,m003,1,1,1
71,7/21/2019,c023,s004, Tesla kills pedestrian ,1,0,0,0,1,1,m003,,,
70,7/13/2019,c023,s004, Tesla kills pedestrian ,1,0,0,0,1,1,,,,
68,6/30/2019,c023,s004, Single car crash near Menifee ,1,1,0,0,0,1,m003,1,,
66,6/4/2019,c023,s004, Six vehicle crash ,1,0,0,1,0,0,m004,,,
65,5/31/2019,c023,s004, Tesla rear ends Ford ,1,0,0,1,0,0,,,,
62,4/15/2019,c023,s004, Tesla strikes on-ramp curb ,1,0,1,0,0,1,,,,
57,2/18/2019,c023,s004, Tesla rear ends stopped car ,1,1,0,0,0,1,m004,,,
51,11/9/2018,c023,s004, Tesla crashes into tree ,2,0,2,0,0,2,m004,,,
49,9/21/2018,c023,s004, Single car collision in Anaheim on SR-91 ,1,1,0,0,0,1,m004,,,
